CJ CGV,79160
CJ씨푸드,11150
DB손해보험,5830
DSR제강,69730
LS전선아시아,229640
MH에탄올,23150
SBS미디어홀딩스,101060
SK텔레콤,17670
STX중공업,71970
계양전기,12200
골든브릿지증권,1290
기업은행,24110
대구백화점,6370
대우건설,47040
대한항공,3490
덕양산업,24900
락앤락,115390
마니커,27740
메리츠종금증권,8560
보락,2760
부광약품,3000
삼양통상,2170
삼호개발,10960
삼화전자공업,11230
새론오토모티브,75180
선진,136490
신풍제지,2870
신흥,4080
씨에스윈드,112610
아이에이치큐,3560
에스제이엠홀딩스,25530
예스코,15360
유진증권,1200
이노션,214320
이마트,139480
참엔지니어링,9310
코라오홀딩스,900140
코오롱인더,120110
한국수출포장공업,2200
한국주철관공업,970
한세예스24홀딩스,16450
한전기술,52690
현대리바트,79430
휴스틸,5010
CJ프레시웨이,51500
DB라이텍,45890
GMR 머티리얼즈,32860
IBKS제8호스팩,277410
KD건설,44180
SG&G,40610
광림,14200
구영테크,53270
국영지앤엠,6050
국일신동,60480
네오티스,85910
네이블커뮤니케이션즈,153460
넥스턴,89140
넥스트리밍,139670
다날,64260
다산네트웍스,39560
대륙제관,4780
대성파인텍,104040
동부스팩3호,226440
동운아나텍,94170
디에이치피코리아,131030
디에이테크놀로지,196490
디에이피,66900
디젠스,113810
라이브플렉스,50120
랩지노믹스,84650
로보스타,90360
로스웰,900260
마제스타,35480
모다,149940
무림SP,1810
미코,59090
바이오빌,65940
뷰웍스,100120
브레인콘텐츠,66980
삼기오토모티브,122350
상신전자,263810
선데이토즈,123420
성창오토텍,80470
세중,39310
솔루에타,154040
슈피겐코리아,192440
썸에이지,208640
에스아이티글로벌,50320
에스제이케이,80440
에이텍티앤,224110
엑시콘,92870
와이엠티,251370
우리이티아이,82850
유니온커뮤니티,203450
유니테스트,86390
유신,54930
유진에이씨피씨스팩2호,215090
유진테크,84370
유티아이,179900
이건홀딩스,39020
이씨에스,67010
이엠텍,91120
인베니아,79950
인탑스,49070
인피니트헬스케어,71200
재영솔루텍,49630
제룡산업,147830
제우스,79370
진바이오텍,86060
창해에탄올,4650
케이씨에스,115500
케이피에스,256940
코렌텍,104540
코스메카코리아,241710
코콤,15710
